id,kode_provinsi,nama_provinsi,pdrb_per_kapita,satuan,tahun
83,35,JAWA TIMUR,55410.61,RIBU RUPIAH,2018
84,36,BANTEN,48370.15,RIBU RUPIAH,2018
85,51,BALI,54433.46,RIBU RUPIAH,2018
86,52,NUSA TENGGARA BARAT,24705.97,RIBU RUPIAH,2018
87,53,NUSA TENGGARA TIMUR,18417.54,RIBU RUPIAH,2018
88,61,KALIMANTAN BARAT,38814.73,RIBU RUPIAH,2018
89,62,KALIMANTAN TENGAH,52107.23,RIBU RUPIAH,2018
90,63,KALIMANTAN SELATAN,41046.28,RIBU RUPIAH,2018
91,64,KALIMANTAN TIMUR,174164.82,RIBU RUPIAH,2018
92,65,KALIMANTAN UTARA,119413.88,RIBU RUPIAH,2018
93,71,SULAWESI UTARA,48105.41,RIBU RUPIAH,2018
94,72,SULAWESI TENGAH,55518.66,RIBU RUPIAH,2018
95,73,SULAWESI SELATAN,52642.08,RIBU RUPIAH,2018
96,74,SULAWESI TENGGARA,44492.09,RIBU RUPIAH,2018
97,75,GORONTALO,31827.62,RIBU RUPIAH,2018
98,76,SULAWESI BARAT,32059.09,RIBU RUPIAH,2018
99,81,MALUKU,24268.62,RIBU RUPIAH,2018
100,82,MALUKU UTARA,29586.12,RIBU RUPIAH,2018
101,91,PAPUA BARAT,84958.03,RIBU RUPIAH,2018
102,94,PAPUA,63385.68,RIBU RUPIAH,2018
103,11,ACEH,30879.06,RIBU RUPIAH,2019
104,12,SUMATERA UTARA,54620.4,RIBU RUPIAH,2019
105,13,SUMATERA BARAT,44885.51,RIBU RUPIAH,2019
106,14,RIAU,111227.01,RIBU RUPIAH,2019
107,15,JAMBI,60828.86,RIBU RUPIAH,2019
108,16,SUMATERA SELATAN,53359.1,RIBU RUPIAH,2019
109,17,BENGKULU,36565.29,RIBU RUPIAH,2019
110,18,LAMPUNG,42172.32,RIBU RUPIAH,2019
111,19,KEPULAUAN BANGKA BELITUNG,52232.8,RIBU RUPIAH,2019
112,21,KEPULAUAN RIAU,119394.66,RIBU RUPIAH,2019
113,31,DKI JAKARTA,268052.25,RIBU RUPIAH,2019
