38 Provinsi,
,Proporsi Individu Yang Menggunakan Internet Menurut Provinsi (Persen)
,2017
ACEH,22.86
SUMATERA UTARA,27.63
SUMATERA BARAT,29.63
RIAU,32.16
JAMBI,26.67
SUMATERA SELATAN,25.65
BENGKULU,26.71
LAMPUNG,22.45
KEP. BANGKA BELITUNG,28.86
KEP. RIAU,48.35
DKI JAKARTA,60.65
JAWA BARAT,37.02
JAWA TENGAH,30.73
DI YOGYAKARTA,45.38
JAWA TIMUR,31.17
BANTEN,37.46
BALI,39.49
NUSA TENGGARA BARAT,22.64
NUSA TENGGARA TIMUR,17.88
KALIMANTAN BARAT,24.17
KALIMANTAN TENGAH,29.35
KALIMANTAN SELATAN,31.37
KALIMANTAN TIMUR,42.14
KALIMANTAN UTARA,36.4
SULAWESI UTARA,35.44
SULAWESI TENGAH,24.88
SULAWESI SELATAN,30.35
SULAWESI TENGGARA,26.17
GORONTALO,27.31
SULAWESI BARAT,19.5
MALUKU,24.42
MALUKU UTARA,18.8
PAPUA BARAT,27.45
PAPUA BARAT DAYA,-
PAPUA,16.51
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,32.34
